"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:4ribE3viENJ68lI2rTMIcn","Остров-крепость","spotify:artist:16RWWb6CXRQ11FvQUHcaey","Соломенные Еноты","spotify:album:6tBmAvXbr18rnRyySqjh06","Остров-крепость","spotify:artist:16RWWb6CXRQ11FvQUHcaey","Соломенные Еноты","1997-04-11","https://i.scdn.co/image/ab67616d0000b273eacd170089c119856848e57a","1","3","153653","https://p.scdn.co/mp3-preview/0895edadb13bf4d6aaa1d32f2b259d11a835e99c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","7","","2021-06-14T17:44:00Z"
"spotify:track:4ZBEOTi0YqHkAgJYfnRKmw","Тунгусский метеорит","spotify:artist:16RWWb6CXRQ11FvQUHcaey","Соломенные Еноты","spotify:album:6Ng18TyxXYXEXch8O9PHlh","Дневник Лили Мурлыкиной","spotify:artist:16RWWb6CXRQ11FvQUHcaey","Соломенные Еноты","1998-06-11","https://i.scdn.co/image/ab67616d0000b27304533a3dde4d179f3b6e97fa","1","10","159253","https://p.scdn.co/mp3-preview/a9b3d180b81f2dc9d0f61b1df81651f5eb4ede3d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","4","","2021-06-14T17:35:19Z"
"spotify:track:2w8pM0hTdgkoPdJdpr6UOC","Nazi лозунг","spotify:artist:16RWWb6CXRQ11FvQUHcaey","Соломенные Еноты","spotify:album:6Ng18TyxXYXEXch8O9PHlh","Дневник Лили Мурлыкиной","spotify:artist:16RWWb6CXRQ11FvQUHcaey","Соломенные Еноты","1998-06-11","https://i.scdn.co/image/ab67616d0000b27304533a3dde4d179f3b6e97fa","1","11","162973","https://p.scdn.co/mp3-preview/4acd9373c7101e97eb1257cd5cb6a992f484776e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","9","","2021-06-14T17:32:41Z"
"spotify:track:3uJhBCgvI4Gmkfoz7R5Be8","Above It All","spotify:artist:34hmgPKKRJX6fvkosRxDO7","August Wilhelmsson","spotify:album:37lG6j92FSavjmG8anuy8a","I Was Arthur","spotify:artist:34hmgPKKRJX6fvkosRxDO7","August Wilhelmsson","2016-03-15","https://i.scdn.co/image/ab67616d0000b2730e726bd691354a95fc2c5733","1","3","131416","","false","0","","2021-06-14T09:05:39Z"
"spotify:track:5nKSxq2yNgQLtgzqJxPn41","i wish it would never stop snowing","spotify:artist:1IJe80moz409PtxW4llPFw","Sleepy Fish","spotify:album:0FBkB6e7deadNGBxQCpQc0","Chillhop Essentials Spring 2019","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Разные исполнители","2019-03-20","https://i.scdn.co/image/e679a351b106693e32cdd9acd0abd3976110fbba","1","24","196500","","false","4","","2021-06-13T09:11:02Z"
"spotify:track:2SSBJhvMsujY94GK5JAtKs","Buena","spotify:artist:3QgSmABpItIdj908ek80n5","Morphine","spotify:album:0FocpOyE7RnaNsiaEhSbp6","Cure for Pain","spotify:artist:3QgSmABpItIdj908ek80n5","Morphine","1993-09-14","https://i.scdn.co/image/ab67616d0000b273b0f39b11297dc844ed04c36a","1","2","199666","https://p.scdn.co/mp3-preview/ecacddf15aca2fd55b265ddbd6f08f9d534bc117?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","","2021-06-11T19:34:53Z"
"spotify:track:3b0fiwh8g5UubvOVlEWJSx","Etude","spotify:artist:2TSuAchdgVzsAa9wDK1IeT","Julian Lage","spotify:album:6tgFS8XA8GXQswzyNHS6jf","Etude","spotify:artist:2TSuAchdgVzsAa9wDK1IeT","Julian Lage","2021-04-30","https://i.scdn.co/image/ab67616d0000b273fd613a9b68efa352d18aa052","1","1","147268","","false","25","","2021-06-11T09:28:41Z"
"spotify:track:7nDjW1FNWo17X6M6Cz5iI6","Abraham","spotify:artist:4xX2QeWsypmEv9w4u9P6xC","Raffy Bushman","spotify:album:2wpSHnqMJKaFNCuIjDMYJ0","Abraham","spotify:artist:4xX2QeWsypmEv9w4u9P6xC","Raffy Bushman","2021-04-28","https://i.scdn.co/image/ab67616d0000b2734d22577902b9b075a11ac07e","1","1","256250","https://p.scdn.co/mp3-preview/486d3a5a4d340136b571e394fa42c346984c820c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","","2021-06-11T09:10:13Z"
"spotify:track:0i7di1s77lqCOSZbWAaza2","Kibera","spotify:artist:6Uipo5JiSrwG7oeHHE1E3Q","Rasmus Holm Quartet","spotify:album:5R6lZOTQkbi6ABSXzM4Deu","Kibera","spotify:artist:6Uipo5JiSrwG7oeHHE1E3Q","Rasmus Holm Quartet","2021-05-07","https://i.scdn.co/image/ab67616d0000b27342c5705cfa13ae9adb2279dc","1","1","278122","https://p.scdn.co/mp3-preview/fcc17043a6d97b45066c489fdb41e1d51ba1c6bd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","9","","2021-06-11T09:08:14Z"
"spotify:track:0gEtTbxL3m4UE4dpp9FFlU","Terrain: III","spotify:artist:7sYipTRgDXS2JVOPEhRutx","Portico Quartet","spotify:album:1EcfJI8h51rWSlwvTMD41k","Terrain: III","spotify:artist:7sYipTRgDXS2JVOPEhRutx","Portico Quartet","2021-05-05","https://i.scdn.co/image/ab67616d0000b273ce20b5939af76c11b5467126","1","1","610386","","false","0","","2021-06-08T16:32:06Z"
"spotify:track:4nsrSPXBCUK4GSe4lg6svm","Pick Up Your Burning Cross","spotify:artist:3pvRbmrqOyFxB2Eext4Dki, spotify:artist:4kANxfLenUobb7t5fHSrgA, spotify:artist:59lypjMPo7ZILhNMCgaE19","Sons Of Kemet, Moor Mother, Angel Bat Dawid","spotify:album:6AfA0FZhzRTpjDDYHkCd5B","Black To The Future","spotify:artist:3pvRbmrqOyFxB2Eext4Dki","Sons Of Kemet","2021-05-14","https://i.scdn.co/image/ab67616d0000b273aef4108f0ee27c403c278970","1","2","224040","","false","33","","2021-06-08T08:18:54Z"
"spotify:track:7L45mMUW4SBW54zx4aIheF","Pouring / Wait Til Morning","spotify:artist:2lqAPLmP9BsHPymfa6UFO7","Quinn Oulton","spotify:album:0ha6ieKpSdluslt2g6tzyT","Quinn Oulton","spotify:artist:2lqAPLmP9BsHPymfa6UFO7","Quinn Oulton","2021-05-14","https://i.scdn.co/image/ab67616d0000b273197b047f77ba740a2f38c43a","1","3","303421","https://p.scdn.co/mp3-preview/528a41d53dfb5de35c6e0316bac314009c2b072d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","4","","2021-06-08T08:10:14Z"
"spotify:track:1yBXop1hdCvKFOOwZ8OlTB","Peace Piece","spotify:artist:0M6QGBKWICr8dxhh3UJW45","Green-House","spotify:album:2Jhm63LMXSxnD8EC7C5cos","Peace Piece","spotify:artist:0M6QGBKWICr8dxhh3UJW45","Green-House","2021-05-14","https://i.scdn.co/image/ab67616d0000b273127c46c3b47de101938ac0f6","1","1","253410","","false","0","","2021-06-08T07:32:05Z"
"spotify:track:59F4CdiCvHl28OfYbXfTBq","Ghost Song #8","spotify:artist:3UZbyz0QMCgygRaBh7dEEa, spotify:artist:6kqqAVzvnHV9B3xHGkHxA4","Paul Jarret, Jim Black","spotify:album:74s6anQlEybO46f5nNP7WZ","Ghost Song #8","spotify:artist:3UZbyz0QMCgygRaBh7dEEa, spotify:artist:6kqqAVzvnHV9B3xHGkHxA4","Paul Jarret, Jim Black","2021-05-21","https://i.scdn.co/image/ab67616d0000b2731af6a68a18e6829ae8d64621","1","1","333306","https://p.scdn.co/mp3-preview/b589487669c9265d93aac91e79467ae0ec375e29?cid=9950ac751e34487dbbe027c4fd7f8e99","false","2","","2021-06-08T07:19:59Z"
